;PLAYER;TEAM;AGE;GP;W;L;MIN;PTS;FGM;FGA;FG%;3PM;3PA;3P%;FTM;FTA;FT%;OREB;DREB;REB;AST;TOV;STL;BLK;PF;FP;DD2;TD3;+/-
429;Kyle Collinsworth;DAL;26;32;9;23;15.0;3.2;1.2;3.1;38.4;0.1;0.5;23.5;0.7;1.3;52.5;1.0;2.3;3.3;1.8;0.8;0.5;0.3;1.4;11.5;1;0;-0.9
430;Terrance Ferguson;OKC;20;61;37;24;12.5;3.1;1.1;2.8;41.4;0.7;2.0;33.3;0.1;0.2;90.0;0.3;0.5;0.8;0.3;0.2;0.4;0.2;1.4;6.0;0;0;-1.4
431;Derrick Jones Jr.;MIA;21;20;9;11;12.3;3.1;1.1;2.7;39.6;0.2;0.9;16.7;0.8;1.2;66.7;1.1;0.9;1.9;0.5;0.4;0.2;0.7;1.2;8.2;0;0;-1.8
432;Abdel Nader;BOS;24;48;33;15;10.9;3.0;1.0;3.1;33.6;0.5;1.4;35.4;0.5;0.8;59.0;0.3;1.2;1.5;0.5;0.7;0.3;0.2;0.9;6.5;0;0;-2.3
433;Anthony Brown;MIN;25;1;0;1;3.7;3.0;1.0;1.0;100;1.0;1.0;100;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;4.5;0;0;3.0
433;Davon Reed;PHX;23;21;2;19;11.5;3.0;1.0;3.6;28.9;0.5;1.8;28.9;0.4;0.6;66.7;0.1;1.8;1.9;0.6;0.5;0.5;0.1;0.8;7.4;0;0;-3.6
433;Gary Payton II;LAL;25;23;10;13;9.6;3.0;1.3;3.2;40.5;0.3;1.1;24.0;0.1;0.4;33.3;0.6;1.3;1.9;0.9;0.3;0.3;0.1;1.3;7.7;1;0;0.5
433;Jabari Bird;BOS;23;13;8;5;8.8;3.0;1.2;2.0;57.7;0.2;0.5;42.9;0.5;1.0;46.2;0.5;1.0;1.5;0.6;0.6;0.2;0.1;0.5;6.0;0;0;1.4
433;Kendrick Perkins;CLE;33;1;0;1;14.5;3.0;1.0;2.0;50.0;0.0;0.0;0.0;1.0;2.0;50.0;0.0;1.0;1.0;2.0;1.0;1.0;0.0;1.0;9.2;0;0;3.0
433;Naz Mitrou-Long;UTA;24;1;0;1;0.5;3.0;1.0;1.0;100;1.0;1.0;100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0;0;5.0
433;Nigel Hayes;SAC;23;9;6;3;13.6;3.0;1.2;3.7;33.3;0.4;1.8;25.0;0.1;0.3;33.3;0.4;2.0;2.4;0.7;0.2;0.2;0.3;0.9;8.4;0;0;1.0
440;Tim Frazier;WAS;27;59;31;28;14.2;3.0;1.2;2.9;39.5;0.3;0.9;30.4;0.4;0.5;76.7;0.3;1.6;1.9;3.3;1.0;0.8;0.1;1.6;12.0;0;0;-1.5
441;TJ Leaf;IND;21;53;31;22;8.7;2.9;1.2;2.6;47.1;0.3;0.8;42.9;0.2;0.3;62.5;0.5;1.0;1.5;0.2;0.2;0.1;0.1;0.8;5.4;0;0;-1.5
442;Gian Clavell;DAL;24;7;0;7;9.1;2.9;0.9;2.6;33.3;0.9;2.1;40.0;0.3;0.3;100;0.1;0.9;1.0;0.4;0.3;0.3;0.0;1.1;5.3;0;0;2.7
443;Darrell Arthur;DEN;30;19;12;7;7.4;2.8;1.2;2.5;46.8;0.4;1.2;34.8;0.1;0.2;66.7;0.2;0.6;0.8;0.5;0.8;0.4;0.2;1.2;5.4;0;0;-1.7
444;James Young;PHI;22;6;4;2;10.2;2.8;0.8;2.3;35.7;0.5;1.7;30.0;0.7;1.0;66.7;0.0;0.3;0.3;0.3;0.2;0.0;0.0;0.7;3.6;0;0;-4.3
445;Briante Weber;MEM;25;18;8;10;13.1;2.8;1.1;2.4;44.2;0.2;0.6;36.4;0.4;0.6;80.0;0.4;1.5;1.9;1.2;0.8;1.0;0.3;1.6;9.9;0;0;-5.9
446;Semi Ojeleye;BOS;23;73;50;23;15.8;2.7;0.9;2.6;34.6;0.5;1.7;32.0;0.3;0.6;61.0;0.5;1.7;2.2;0.3;0.3;0.3;0.1;1.2;6.4;0;0;-2.5
447;James Michael McAdoo;PHI;25;3;1;2;6.0;2.7;0.7;2.3;28.6;0.7;2.3;28.6;0.7;0.7;100;0.0;0.7;0.7;0.0;0.3;0.0;0.3;0.3;4.1;0;0;0.3
448;Ekpe Udoh;UTA;31;63;36;27;12.9;2.6;1.0;1.9;50.0;0.0;0.0;0.0;0.7;0.9;75.0;1.1;1.3;2.4;0.8;0.3;0.7;1.2;1.7;11.9;0;0;1.0
449;Josh Magette;ATL;28;18;3;15;12.0;2.6;0.8;2.6;32.6;0.4;1.2;36.4;0.4;0.4;100;0.1;0.9;1.1;3.2;0.5;0.4;0.1;0.9;9.6;0;0;-0.1
450;Malcolm Miller;TOR;25;15;15;0;8.4;2.5;0.9;1.9;46.4;0.5;1.4;38.1;0.3;0.3;100;0.3;0.7;1.0;0.2;0.3;0.1;0.1;0.7;4.3;0;0;0.5
451;Bobby Brown;HOU;33;20;17;3;5.7;2.5;1.0;2.9;32.8;0.6;2.0;27.5;0.1;0.1;50.0;0.0;0.4;0.4;0.6;0.5;0.2;0.0;0.3;3.9;0;0;-3.0
452;Lucas Nogueira;TOR;25;49;36;13;8.5;2.5;1.0;1.6;61.3;0.1;0.4;26.3;0.4;0.6;67.9;0.4;1.4;1.8;0.4;0.3;0.5;0.9;1.0;9.0;0;0;1.8
453;Ron Baker;NYK;25;29;12;17;13.3;2.4;0.7;2.0;33.9;0.4;1.1;33.3;0.7;0.9;76.9;0.2;0.9;1.0;1.6;0.6;0.9;0.2;1.1;8.8;0;0;0.6
454;Chris McCullough;WAS;23;19;11;8;4.7;2.4;0.9;2.2;42.9;0.1;0.4;12.5;0.5;0.7;64.3;0.4;0.9;1.3;0.2;0.1;0.0;0.3;0.4;5.0;0;0;-0.8
455;Solomon Hill;NOP;27;12;8;4;15.6;2.4;0.9;3.4;26.8;0.3;1.8;19.0;0.3;0.5;50.0;0.8;2.3;3.0;1.8;0.8;0.6;0.1;1.8;10.0;0;0;-2.2
456;Marcus Paige;CHA;24;5;4;1;5.6;2.4;0.8;2.8;28.6;0.4;1.6;25.0;0.4;0.4;100;0.0;0.8;0.8;0.6;0.0;0.0;0.0;0.0;4.3;0;0;1.6
457;Guerschon Yabusele;BOS;22;33;24;9;7.1;2.4;0.8;1.8;42.6;0.4;1.1;32.4;0.5;0.7;68.2;0.5;1.1;1.6;0.5;0.4;0.1;0.2;0.7;5.5;0;0;-0.2
458;Brice Johnson;MEM;24;18;2;16;5.4;2.4;1.1;2.3;47.6;0.0;0.1;0.0;0.2;0.3;60.0;0.5;1.2;1.7;0.1;0.3;0.5;0.3;0.7;6.8;0;0;-0.4
459;Aaron Brooks;MIN;33;32;19;13;5.9;2.3;0.9;2.2;40.6;0.3;1.0;35.5;0.3;0.3;72.7;0.2;0.3;0.5;0.6;0.3;0.2;0.0;0.9;4.1;0;0;-2.3
460;Josh Huestis;OKC;26;69;43;26;14.2;2.3;0.9;2.6;33.0;0.5;1.7;28.7;0.1;0.3;30.0;0.6;1.7;2.3;0.3;0.4;0.2;0.6;1.2;7.7;0;0;1.6
461;Brandon Paul;SAS;27;64;38;26;9.0;2.3;0.9;2.0;43.3;0.2;0.8;27.8;0.3;0.7;51.2;0.1;1.0;1.1;0.6;0.5;0.4;0.1;0.9;5.5;0;0;-0.1
462;Lorenzo Brown;TOR;27;14;9;5;9.9;2.3;1.0;2.4;41.2;0.1;0.9;16.7;0.1;0.1;100;0.1;1.0;1.1;0.9;0.2;0.4;0.0;0.5;5.8;0;0;3.3
462;Rashad Vaughn;ORL;21;28;13;15;7.6;2.3;0.8;2.0;41.1;0.5;1.3;37.8;0.1;0.2;66.7;0.1;0.6;0.8;0.5;0.2;0.2;0.1;0.5;4.5;0;0;-0.4
464;Caleb Swanigan;POR;21;27;16;11;7.0;2.3;0.9;2.2;40.0;0.0;0.3;12.5;0.4;0.7;66.7;0.6;1.4;2.0;0.5;0.7;0.2;0.1;1.4;5.7;0;0;-0.4
465;John Holland;CLE;29;24;17;7;7.3;2.3;0.7;2.5;28.8;0.5;1.5;30.6;0.4;0.5;69.2;0.3;0.8;1.0;0.2;0.3;0.3;0.1;0.4;4.6;0;0;-1.2
466;Bruno Caboclo;SAC;22;12;4;8;8.9;2.2;0.8;2.6;29.0;0.3;1.4;17.6;0.4;0.5;83.3;0.6;1.3;1.8;0.3;0.3;0.3;0.3;0.7;6.3;0;0;0.9
467;Eric Moreland;DET;26;67;32;35;12.0;2.1;1.0;1.8;54.1;0.0;0.0;0.0;0.2;0.4;37.9;1.2;2.9;4.1;1.2;0.6;0.5;0.8;1.7;11.9;2;0;0.1
468;Georgios Papagiannis;POR;20;17;3;14;7.2;2.1;1.1;2.5;42.9;0.0;0.0;0.0;0.0;0.0;0.0;0.8;1.4;2.2;0.5;0.5;0.2;0.4;0.7;6.8;0;0;-0.3
469;Nick Collison;OKC;37;15;9;6;5.0;2.1;0.9;1.3;68.4;0.0;0.0;0.0;0.3;0.9;38.5;0.5;0.9;1.3;0.3;0.5;0.0;0.0;0.5;3.6;0;0;-0.3
470;Daniel Hamilton;OKC;22;6;5;1;4.6;2.0;0.8;1.8;45.5;0.3;0.8;40.0;0.0;0.0;0.0;0.0;0.8;0.8;1.3;0.3;0.2;0.0;0.3;5.2;0;0;-2.0
470;Devin Robinson;WAS;23;1;0;1;13.2;2.0;1.0;3.0;33.3;0.0;0.0;0.0;0.0;0.0;0.0;2.0;3.0;5.0;0.0;0.0;1.0;0.0;2.0;11.0;0;0;10.0
470;Edmond Sumner;IND;22;1;0;1;2.2;2.0;1.0;1.0;100;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3.2;0;0;-6.0
470;Gordon Hayward;BOS;28;1;0;1;5.3;2.0;1.0;2.0;50.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;1.0;3.2;0;0;3.0
470;Jeremy Evans;ATL;30;1;0;1;5.4;2.0;1.0;1.0;100;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;2.2;0;0;-4.0
470;Justin Patton;MIN;21;1;0;1;3.7;2.0;1.0;2.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;5.0;0;0;3.0
470;Luol Deng;LAL;33;1;0;1;13.1;2.0;1.0;2.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;5.5;0;0;-7.0
470;Mangok Mathiang;CHA;25;4;3;1;5.0;2.0;1.0;1.8;57.1;0.0;0.0;0.0;0.0;0.3;0.0;0.8;1.8;2.5;0.0;0.0;0.3;0.0;1.3;5.8;0;0;0.3
470;Ryan Arcidiacono;CHI;24;24;6;18;12.7;2.0;0.7;1.7;41.5;0.4;1.3;29.0;0.2;0.3;83.3;0.0;1.0;1.0;1.5;0.5;0.5;0.0;0.8;6.5;0;0;-1.0
479;Quincy Pondexter;CHI;30;23;6;17;8.5;2.0;0.6;2.1;28.6;0.1;1.0;13.6;0.6;0.7;82.4;0.3;0.8;1.2;0.4;0.5;0.3;0.1;1.0;4.8;0;0;-3.9
480;Kyle Singler;OKC;30;12;5;7;4.9;1.9;0.6;1.8;33.3;0.2;0.4;40.0;0.6;1.1;53.8;0.1;0.8;0.8;0.2;0.3;0.1;0.0;0.3;3.2;0;0;-0.1
481;Derrick Walton Jr.;MIA;23;16;8;8;9.2;1.8;0.5;1.6;32.0;0.4;1.1;41.2;0.4;0.4;100;0.1;0.9;1.0;1.0;0.1;0.4;0.2;0.4;6.3;0;0;-1.9
482;Dakari Johnson;OKC;22;31;21;10;5.2;1.8;0.7;1.3;56.4;0.0;0.0;0.0;0.4;0.6;55.0;0.5;0.6;1.1;0.3;0.1;0.2;0.3;0.9;4.7;0;0;1.1
483;Marshall Plumlee;MIL;25;8;5;3;6.5;1.8;0.1;0.4;33.3;0.0;0.0;0.0;1.5;2.0;75.0;0.5;1.6;2.1;0.3;0.4;0.0;0.1;1.3;4.7;0;0;-0.1
484;DeAndre Liggins;NOP;30;58;34;24;12.5;1.7;0.7;1.8;37.7;0.3;0.9;35.8;0.0;0.1;40.0;0.1;1.2;1.3;0.8;0.3;0.6;0.2;1.4;6.8;0;0;-3.6
485;Damien Wilkins;IND;38;19;10;9;8.0;1.7;0.7;2.1;33.3;0.2;0.9;22.2;0.2;0.2;75.0;0.3;0.6;0.8;0.5;0.3;0.1;0.1;0.4;3.7;0;0;1.4
486;Joakim Noah;NYK;33;7;1;6;5.7;1.7;0.7;1.4;50.0;0.0;0.0;0.0;0.3;0.6;50.0;0.9;1.1;2.0;0.6;0.6;0.3;0.3;0.7;6.1;0;0;0.0
487;Larry Drew II;NOP;28;10;6;4;7.0;1.7;0.7;2.4;29.2;0.3;0.9;33.3;0.0;0.0;0.0;0.3;0.0;0.3;1.0;0.3;0.0;0.0;0.6;3.3;0;0;-1.3
488;Damian Jones;GSW;23;15;7;8;5.9;1.7;0.7;1.5;50.0;0.0;0.0;0.0;0.2;0.3;60.0;0.3;0.6;0.9;0.1;0.3;0.1;0.2;0.9;3.5;0;0;0.0
488;Matt Williams Jr.;MIA;24;3;1;2;3.8;1.7;0.7;2.0;33.3;0.3;1.7;20.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.3;0.0;0.0;0.3;1.7;0;0;5.3
490;Furkan Korkmaz;PHI;20;14;11;3;5.7;1.6;0.6;2.0;28.6;0.4;1.2;29.4;0.1;0.3;50.0;0.1;0.6;0.8;0.3;0.1;0.1;0.1;0.9;3.5;0;0;-3.1
491;James Webb III;BKN;24;10;1;9;12.0;1.6;0.6;2.4;25.0;0.4;1.9;21.1;0.0;0.0;0.0;0.8;1.6;2.4;0.4;0.4;0.1;0.0;1.0;5.0;0;0;-2.6
492;Alfonzo McKinnie;TOR;25;14;13;1;3.8;1.5;0.6;1.1;53.3;0.2;0.6;33.3;0.1;0.2;66.7;0.1;0.4;0.5;0.1;0.2;0.1;0.1;0.6;2.4;0;0;-1.0
492;Andrew Bogut;LAL;33;24;7;17;9.0;1.5;0.7;1.0;68.0;0.0;0.0;0.0;0.1;0.1;100;1.1;2.2;3.3;0.6;0.8;0.2;0.5;1.7;7.7;0;0;-1.2
492;Jeff Withey;DAL;28;10;2;8;3.9;1.5;0.6;1.6;37.5;0.2;1.0;20.0;0.1;0.2;50.0;0.1;0.9;1.0;0.0;0.2;0.0;0.3;0.3;3.4;0;0;2.1
492;Joel Bolomboy;MIL;24;6;3;3;6.3;1.5;0.5;1.0;50.0;0.0;0.2;0.0;0.5;1.0;50.0;1.0;0.7;1.7;0.0;0.3;0.3;0.0;0.5;4.2;0;0;-2.2
492;Richard Jefferson;DEN;38;20;10;10;8.2;1.5;0.6;1.4;44.4;0.1;0.4;28.6;0.2;0.4;57.1;0.1;0.8;0.9;0.8;0.3;0.1;0.1;0.6;3.8;0;0;-2.1
492;Vincent Hunter;MEM;23;4;0;4;1.9;1.5;0.8;1.3;60.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.3;0.8;0.0;0.3;0.0;0.3;0.0;2.9;0;0;1.5
498;Thomas Bryant;LAL;20;15;7;8;4.8;1.5;0.5;1.4;38.1;0.1;0.7;10.0;0.3;0.6;55.6;0.2;0.9;1.1;0.4;0.1;0.1;0.1;0.4;3.9;0;0;-0.6
499;Marcus Georges-Hunt;MIN;24;42;24;18;5.3;1.4;0.5;1.1;43.8;0.1;0.4;26.7;0.3;0.5;61.9;0.2;0.2;0.4;0.2;0.1;0.1;0.0;0.8;2.5;0;0;-0.8
500;Antonius Cleveland;ATL;24;17;7;10;7.2;1.4;0.5;1.2;38.1;0.2;0.2;75.0;0.2;0.4;66.7;0.2;0.6;0.8;0.1;0.4;0.4;0.3;1.4;4.2;0;0;-2.6
501;Tim Quarterman;HOU;23;3;2;1;4.3;1.3;0.3;1.0;33.3;0.0;0.7;0.0;0.7;0.7;100;0.0;1.0;1.0;0.3;0.7;0.0;0.0;0.3;2.4;0;0;-3.3
502;Markel Brown;HOU;26;4;4;0;7.9;1.3;0.5;1.8;28.6;0.3;1.3;20.0;0.0;0.0;0.0;0.3;1.0;1.3;0.5;0.5;0.0;0.0;1.5;3.0;0;0;-4.3
503;Omer Asik;CHI;31;18;7;11;10.1;1.2;0.5;1.2;40.9;0.0;0.0;0.0;0.2;0.7;30.8;0.5;2.1;2.6;0.2;0.5;0.1;0.2;1.1;5.1;0;0;-1.8
503;Zhou Qi;HOU;22;18;14;4;6.9;1.2;0.3;1.8;18.8;0.1;1.1;10.5;0.4;0.7;66.7;0.3;0.9;1.2;0.1;0.6;0.1;0.8;0.8;5.0;0;0;-3.7
505;Ike Anigbogu;IND;19;11;5;6;2.7;1.2;0.4;0.8;44.4;0.0;0.0;0.0;0.5;0.5;83.3;0.5;0.4;0.8;0.0;0.2;0.1;0.3;0.1;3.1;0;0;-1.3
506;Darrun Hilliard;SAS;25;14;8;6;6.8;1.1;0.4;1.4;26.3;0.0;0.4;0.0;0.4;0.5;85.7;0.0;0.5;0.5;0.8;0.3;0.1;0.0;0.5;3.1;0;0;0.9
507;Demetrius Jackson;PHI;23;15;12;3;5.3;1.1;0.5;1.2;38.9;0.1;0.5;14.3;0.1;0.1;50.0;0.3;0.5;0.8;0.6;0.7;0.3;0.1;0.5;3.5;0;0;-2.5
508;Kadeem Allen;BOS;25;18;9;9;6.0;1.1;0.3;1.2;27.3;0.0;0.6;0.0;0.4;0.5;77.8;0.2;0.4;0.6;0.7;0.5;0.2;0.1;0.8;3.1;0;0;-1.1
509;Alex Poythress;IND;24;25;10;15;4.2;1.0;0.4;1.0;42.3;0.2;0.4;36.4;0.0;0.0;0.0;0.3;0.4;0.7;0.1;0.1;0.1;0.0;0.6;2.4;0;0;-0.8
510;Derrick Williams;LAL;27;2;1;1;4.3;1.0;0.5;2.0;25.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.0;0.0;0.0;0.0;1.6;0;0;-2.5
510;Georges Niang;UTA;25;9;9;0;3.5;1.0;0.4;1.2;36.4;0.0;0.4;0.0;0.1;0.2;50.0;0.3;0.7;1.0;0.3;0.3;0.2;0.0;0.1;3.0;0;0;-1.4
510;Matt Costello;SAS;24;4;2;2;8.1;1.0;0.5;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;2.0;2.3;0.5;0.3;0.5;0.5;1.8;7.2;0;0;3.8
510;PJ Dozier;OKC;21;2;1;1;1.6;1.0;0.5;1.0;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.5;0.0;0.0;0.5;1.1;0;0;-1.5
510;Reggie Hearn;DET;26;3;3;0;2.2;1.0;0.3;0.7;50.0;0.3;0.7;50.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0;0;-1.7
510;Scotty Hopson;DAL;28;1;0;1;8.4;1.0;0.0;1.0;0.0;0.0;0.0;0.0;1.0;2.0;50.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;1.5;0;0;-8.0
516;Jake Layman;POR;24;35;22;13;4.6;1.0;0.4;1.3;29.8;0.1;0.6;20.0;0.1;0.1;66.7;0.1;0.3;0.5;0.3;0.1;0.2;0.1;0.4;2.7;0;0;-0.6
517;D.J. Wilson;MIL;22;22;12;10;3.2;1.0;0.4;0.7;56.3;0.1;0.2;40.0;0.0;0.1;50.0;0.1;0.4;0.5;0.1;0.2;0.1;0.0;0.3;2.1;0;0;-1.9
518;Tony Bradley;UTA;20;9;6;3;3.2;0.9;0.3;1.2;27.3;0.0;0.1;0.0;0.2;0.2;100;0.4;0.8;1.2;0.1;0.0;0.0;0.0;0.1;2.5;0;0;0.1
519;Julyan Stone;CHA;29;23;10;13;7.6;0.8;0.3;0.6;46.2;0.3;0.6;46.2;0.0;0.1;50.0;0.0;1.2;1.3;1.1;0.3;0.2;0.1;0.9;4.5;0;0;1.7
520;Jacob Wiley;BKN;23;5;1;4;6.7;0.8;0.2;0.8;25.0;0.2;0.4;50.0;0.2;0.4;50.0;0.4;1.8;2.2;0.4;0.0;0.2;0.0;0.8;4.6;0;0;2.6
521;Jacob Pullen;PHI;28;3;2;1;2.0;0.7;0.3;0.7;50.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.3;0.0;0.0;0.0;0.3;0;0;0.0
521;Josh Smith;NOP;32;3;2;1;3.9;0.7;0.3;1.3;25.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.3;1.3;0.0;0.0;0.0;0.0;1.0;2.3;0;0;-3.3
523;Vander Blue;LAL;25;5;1;4;9.0;0.6;0.2;1.0;20.0;0.0;0.4;0.0;0.2;0.4;50.0;0.0;0.2;0.2;0.6;0.6;0.2;0.0;0.4;1.7;0;0;3.0
524;Cole Aldrich;MIN;29;21;14;7;2.3;0.6;0.2;0.7;33.3;0.0;0.0;0.0;0.1;0.3;33.3;0.1;0.6;0.7;0.1;0.0;0.1;0.0;0.5;2.0;0;0;-0.1
524;Udonis Haslem;MIA;38;14;9;5;5.1;0.6;0.2;1.1;20.0;0.1;0.6;12.5;0.1;0.1;50.0;0.2;0.5;0.7;0.4;0.1;0.0;0.1;0.2;2.3;0;0;-0.3
526;London Perrantes;CLE;23;14;8;6;4.7;0.5;0.1;0.9;15.4;0.0;0.2;0.0;0.2;0.4;60.0;0.1;0.2;0.3;0.4;0.1;0.1;0.1;0.4;2.0;0;0;-1.4
526;Xavier Munford;MIL;26;6;2;4;3.5;0.5;0.2;1.0;16.7;0.0;0.3;0.0;0.2;0.3;50.0;0.2;0.0;0.2;0.7;0.3;0.2;0.0;0.7;1.9;0;0;-2.0
528;Charles Cooke;NOP;23;13;8;5;2.9;0.5;0.2;1.1;14.3;0.1;0.6;12.5;0.1;0.2;50.0;0.0;0.2;0.2;0.1;0.1;0.1;0.0;0.0;0.9;0;0;-0.7
529;Nate Wolters;UTA;27;5;3;2;3.8;0.4;0.2;1.2;16.7;0.0;0.0;0.0;0.0;0.0;0.0;0.2;0.2;0.4;0.2;0.0;0.0;0.0;0.2;1.2;0;0;0.6
530;Ben Moore;IND;23;2;1;1;4.6;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.5;0.0;0.0;0.0;2.0;1.4;0;0;-7.5
530;Chris Boucher;GSW;25;1;1;0;1.3;0.0;0.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;1.2;0;0;-2.0
530;Erik McCree;UTA;24;4;4;0;1.9;0.0;0.0;0.5;0.0;0.0;0.3;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.3;0.3;0.0;0.0;0.8;0;0;-2.3
530;Jarell Eddie;CHI;26;3;1;2;2.9;0.0;0.0;0.7;0.0;0.0;0.7;0.0;0.0;0.0;0.0;0.0;0.3;0.3;0.0;0.0;0.3;0.0;0.0;1.4;0;0;0.3
530;Josh McRoberts;DAL;31;2;2;0;2.9;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0;0;0.0
530;Luis Montero;DET;25;2;1;1;4.0;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;0.0;0.0;0.2;0;0;-2.5
530;Mindaugas Kuzminskas;NYK;28;1;0;1;1.9;0.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
530;Nicolas Brussino;ATL;25;4;0;4;2.5;0.0;0.0;0.5;0.0;0.0;0.5;0.0;0.0;0.0;0.0;0.0;0.8;0.8;0.0;0.0;0.0;0.0;0.0;0.9;0;0;4.3
530;Trey McKinney-Jones;IND;27;1;1;0;1.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;0.0
530;Tyler Lydon;DEN;22;1;1;0;2.2;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0;0;-6.0
530;Xavier Silas;BOS;30;2;1;1;3.7;0.0;0.0;1.5;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;0.0;0.0;0.5;0.0;0.5;2.7;0;0;0.5